ID,serial number,class,function,function first,function end,code,number,Taisho,koreana,folio code,author,Indian translator,Tibetan translator,calibration,Chinese translation,Sanskrit title,Title romanisation,Tibetan title,Dazheng holding,Barry holding,Nanjo,Other,PDF,WEB_PDF,WEB_HTML,Remarks
1598,2121,怛特羅部,通帙第126Ḥa,126,126,1598,1598,,,116b2-116b6,Abhiyukta,,,,金剛瑜祇母殺業優波提舍,,Rdo-rje rnal-ḥbyor-maḥi bsad-pa las-kyi man-ṅag,རྡོ་རྗེ་རྣལ་འབྱོར་མའི་བསད་པ་ལས་ཀྱི་མན་ངག,,,,,,,,
1599,2122,怛特羅部,通帙第126Ḥa,126,126,1599,1599,,,116b6-117b7,Abhiyukta,,,,迴遮會,,Phyir zlog ḥkhor-lo,ཕྱིར་ཟློག་འཁོར་ལོ,,,,,,,,
1600,2123,怛特羅部,通帙第126Ḥa,126,126,1600,1600,,,117b7-118a5,Abhiyukta,,,,供物作法,,Gtor-ma bya-ba,གཏོར་མ་བྱ་བ,,,,,,,,
1601,2124,怛特羅部,通帙第126Ḥa,126,126,1601,1601,,,118a5-118b7,Abhiyukta,,,,手供養,,Lag-paḥi mchod-pa,ལག་པའི་མཆོད་པ,,,,,,,,
1602,2125,怛特羅部,通帙第126Ḥa,126,126,1602,1602,,,119a1-126b2,Śrīvanaratna,Śrīvanaratna,Ḥjam-dpal ye-śes,Rgya-mtsho sde,金剛牝豚成就法金剛美女,Vajravilāsinī-nāma-vajravarāhīsādhana,Rdo-rje phag-moḥi sgrub-thabs rdo-rje rnam-par sgeg-ma shes-bya-ba,རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས་རྡོ་རྗེ་རྣམ་པར་སྒེག་མ་ཞེས་བྱ་བ,,,,,,,,
1603,2126,怛特羅部,通帙第126Ḥa,126,126,1603,1603,,,126b2-128a4,Śrīvanaratna,Śrīvanaratna,Ḥjam-dpal ye-śes,Rgya-mtsho sde,金剛牝豚讚二次第,Kramadvayavajravarāhīstotra,Rdo-rje phag-moḥi bstod-pa rim-pa gñis-pa,རྡོ་རྗེ་ཕག་མོའི་བསྟོད་པ་རིམ་པ་གཉིས་པ,,,,,,,,
1604,2127,怛特羅部,通帙第126Ḥa,126,126,1604,1604,,,128a4-128b4,Nags-kyi rin-chen,Nag-kyi rin-chen,Ḥjam-dpal ye-śes,,金剛牝豚一切義成立成就法,Sarvārthasādhakavajravarāhīasādhana-nāma,Rdo-rje phag-mo don kun grub-paḥi sgrub-thabs shes-bya-ba,རྡོ་རྗེ་ཕག་མོ་དོན་ཀུན་གྲུབ་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ,,,,,,,,
1605,2128,怛特羅部,通帙第126Ḥa,126,126,1605,1605,,,128b4-129b7,Nags-kyi rin-chen,Nag-kyi rin-chen,Ḥjam-dpal ye-śes,,金剛牝豚成就法,Vajravarāhīsādhana,Rdo-rje phag-moḥi sgrub-thabs,རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས,,,,,,,,
1606,2129,怛特羅部,通帙第126Ḥa,126,126,1606,1606,,,130a1-137a7,Śākyarakṣita,Dharmapālabhadra,,,住處等決定,Pīṭhādinirṇaya,Gnas la-sogs-pa gtan-la dbab-pa,གནས་ལ་སོགས་པ་གཏན་ལ་དབབ་པ,,,,,,,,
1607,2130,怛特羅部,通帙第126Ḥa,126,126,1607,1607,,,137b1-264a7,Bhavabhadra,Gayadhara,Ḥgos,,怛特羅王吉祥四座註釋念因,Śrīcaturpīṭhatantrarājasmṛtinibandha-nāma-ṭīkā,Rgyud-kyi rgyal-po dpal gdan bshi-paḥi ḥgrel-pa dran-paḥi rgyu-mtshan shes-bya-ba,རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པའི་འགྲེལ་པ་དྲན་པའི་རྒྱུ་མཚན་ཞེས་བྱ་བ,,,,,,,,
1608,2131,怛特羅部,通帙第127Ya,127,127,1608,1608,,,1b1-72a7,Dge-baḥi go-cha,Smṛiti,,,聖四座釋,Ārya-caturpīṭhaṭīkā,Ḥphags-pa gdan bshi-paḥi rnam-par-bśad-pa,འཕགས་པ་གདན་བཞི་པའི་རྣམ་པར་བཤད་པ,,,,,,,,
1609,2132,怛特羅部,通帙第127Ya,127,127,1609,1609,,,72b1-73b5,Klu-sgrub,,,,腋相合,Kakṣapuṭa,Mchan-khuṅ-gi sbyor-ba,མཆན་ཁུང་གི་སྦྱོར་བ,,,,,,,,
1610,2133,怛特羅部,通帙第127Ya,127,127,1610,1610,,,73b5-82a4,Āryadeva,Kamalagupta,Rin-chen bzaṅ-po,,瑜伽怛特羅吉祥四座成就法,Śrīcaturpīṭhayogatantrasādhana,Rnal-ḥbyor-gyi rgyud dpal gdan bshi-paḥi sgrub-thabs,རྣལ་འབྱོར་གྱི་རྒྱུད་དཔལ་གདན་བཞི་པའི་སྒྲུབ་ཐབས,,,,,,,,
1611,2134,怛特羅部,通帙第127Ya,127,127,1611,1611,,,82a4-103b6,Jagadānandajīvabhadra,Mahābodhi、Dhvajaśrībhadra,Smra-baḥi seṅ-ge,,吉祥金剛四座成就法,Śrī-vajracaturpīṭhasādhana-nāma,Dpal rdo-rje gdan bshiḥi sgrub-thabs shes-bya-ba,དཔལ་རྡོ་རྗེ་གདན་བཞིའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ,,,,,,,,
1612,2135,怛特羅部,通帙第127Ya,127,127,1612,1612,,,103b6-113a3,Ḥphags-pa lha,Smṛtijñānakīrti,Samayaśrījñāna,,智慧自在母成就法,Jñāneśvarīsādhana-nāma,Ye-śes dbaṅ-phyug-maḥi sgrub-thabs,ཡེ་ཤེས་དབང་ཕྱུག་མའི་སྒྲུབ་ཐབས,,,,,,,,
1613,2136,怛特羅部,通帙第127Ya,127,127,1613,1613,,,113a4-138a1,Āryadeva,Gayadhara,Ḥgos khugs-pa lhas-btsas,,怛特羅王吉祥四座曼荼羅儀軌心髓集,Śrīcatuḥpīṭhatantrarājamaṇḍalavidhisā-rasamuccaya-nāma,Rgyud-kyi rgyal-po dpal gdan bshi-pa shes-bya-baḥi dkyil-ḥkhor-gyi cho-ga sñiṅ-po mdor-bsags-pa shes-bya-ba,རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་སྙིང་པོ་མདོར་བསགས་པ་ཞེས་བྱ་བ,,,,,,,,
1614,2137,怛特羅部,通帙第127Ya,127,127,1614,1614,,,138a1-142a3,Ḥphags-pa lha,,,,吉祥四座深義說一樹難語釋,,Dpal gdan bshi-paḥi zab-don ston-pa śiṅ gcig-gi dkaḥ-ḥgrel,དཔལ་གདན་བཞི་པའི་ཟབ་དོན་སྟོན་པ་ཤིང་གཅིག་གི་དཀའ་འགྲེལ,,,,,,,,
1615,2138,怛特羅部,通帙第127Ya,127,127,1615,1615,,,142a3-143a7,Ḥphags-pa lha,,,,金剛鈴法供養法次第,Vajraghaṇṭapūjāsādhanakrama,Rdo-rje dril thabs-kyi mchod-paḥi thabs-kyi rim-pa,རྡོ་རྗེ་དྲིལ་ཐབས་ཀྱི་མཆོད་པའི་ཐབས་ཀྱི་རིམ་པ,,,,,,,,
1616,2139,怛特羅部,通帙第127Ya,127,127,1616,1616,,,143a7-148b6,Bhvabhadra,Gayadhara,Ḥgos lhas-btsas,,吉祥四座成就法,Śrīcatuḥpīṭhasādhana,Dpal gdan bshi-paḥi sgrub-paḥi thabs,དཔལ་གདན་བཞི་པའི་སྒྲུབ་པའི་ཐབས,,,,,,,,
1617,2140,怛特羅部,通帙第127Ya,127,127,1617,1617,,,148b6-150a1,Bha-pa,,Tshul-khrims gshon-nu,,吉祥四座水護摩,,Dpal gdan bshi-paḥi chuḥi sbyin-sreg,དཔལ་གདན་བཞི་པའི་ཆུའི་སྦྱིན་སྲེག,,,,,,,,
1618,2141,怛特羅部,通帙第127Ya,127,127,1618,1618,,,150a1-152a6,Ḥjigs med ḥbyuṅ-gnas sbas-pa,,Rin-chen rgyal-mtshan,,智慧荼迦成就法,Jñānaḍākasādhana,Ye-śes mkhaḥ-ḥgroḥi sgrub-thabs,ཡེ་ཤེས་མཁའ་འགྲོའི་སྒྲུབ་ཐབས,,,,,,,,
1619,2142,怛特羅部,通帙第127Ya,127,127,1619,1619,,,152a6-162b7,Rnam-par-rgyal-baḥi dbaṅ-poḥi sde,,,,瑜伽虛空成就法,Yogāmbaravidhi,Rnal-ḥbyor nam-mkhaḥi sgrub-thabs,རྣལ་འབྱོར་ནམ་མཁའི་སྒྲུབ་ཐབས,,,,,,,,
1620,2143,怛特羅部,通帙第127Ya,127,127,1620,1620,,,163a1-167a1,Jetāri-pa,Gayadhara,Ḥgos lha-btsas,,四座四真性,,Gdan bshiḥi de-kho-na-ñid bshi-pa,གདན་བཞིའི་དེ་ཁོ་ན་ཉིད་བཞི་པ,,,,,,,,
1621,2144,怛特羅部,通帙第127Ya,127,127,1621,1621,,,167a1-170a5,Smṛtijñānakīrti,Smṛtijñānakīrti,,,六真性安立,Ṣaṭtattvavyavasthāna,De-kho-na-ñid drug rnam-par-gshag-pa,དེ་ཁོ་ན་ཉིད་དྲུག་རྣམ་པར་གཞག་པ,,,,,,,,
1622,2145,怛特羅部,通帙第127Ya,127,127,1622,1622,,,170a6-180b1,Durjayacandra,Bde-gśegs grags-pa,Ye-śes sems-dpaḥ,,大幻怛特羅難語釋有幻,Mahāmāyātantrapañjikā-māyāvatī-nāma,Sgyu-ḥphrul chen-moḥi rgyud-kyi dkaḥ-ḥgrel sgyu-ma-can shes-bya-ba,སྒྱུ་འཕྲུལ་ཆེན་མོའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ,,,,,,,,
1623,2146,怛特羅部,通帙第127Ya,127,127,1623,1623,,,180b1-201a3,Rin-chen ḥbyuṅ-gnas shi-ba,Shi-ba bzaṅ-po,Ḥgos lhas-btsas,,吉祥大幻註釋有功德,Guṇavatī-śrimahāmāyāṭīkā,Dpal sgyu-ḥphrul chen-moḥi ḥgrel-pa yon-tan-ldan-pa,དཔལ་སྒྱུ་འཕྲུལ་ཆེན་མོའི་འགྲེལ་པ་ཡོན་ཏན་ལྡན་པ,,,,,,,,
1624,2147,怛特羅部,通帙第127Ya,127,127,1624,1624,,,201a3-219a5,Nag-po dam-tshig rdo-rje,Jinavara,Ḥgos lhas-btsas,,大幻怛特羅註釋念,Mahāmāyātantrasmṛtivṛtti,Sgyu-ḥphrul chen-moḥi rgyud-kyi ḥgrel-pa dran-pa shes-bya-ba,སྒྱུ་འཕྲུལ་ཆེན་མོའི་རྒྱུད་ཀྱི་འགྲེལ་པ་དྲན་པ་ཞེས་བྱ་བ,,,,,,,,
1625,2148,怛特羅部,通帙第127Ya,127,127,1625,1625,,,219a5-226b5,Rgyan-pa,,,,大幻難語釋,Mahāmāyā-nāma-pañjikā,Sgyu-ma chen-mo shes-bya-baḥi dkaḥ ḥgrel,སྒྱུ་མ་ཆེན་མོ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ,,,,,,,,
1626,2149,怛特羅部,通帙第127Ya,127,127,1626,1626,,,226b5-228a7,Rdo-rje mkhaḥ-ḥgro-ma,Avadhūti-pa,Śākya brtson-ḥgrus,,大幻成就法,Mahāmāyāsādhana-nāma,Sgyu-ḥphrul chen-mo shes-bya-baḥi sgrub-paḥi thabs,སྒྱུ་འཕྲུལ་ཆེན་མོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས,,,,,,,,
1627,2150,怛特羅部,通帙第127Ya,127,127,1627,1627,,,228b1-230b2,Kukuri-pa,Anīlavajra,Ḥgos lhas-btsas,,大幻怛特羅隨順呬嚕迦成就法,Mahāmāyātantrānusāriherukasādhana,Sgyu-ḥphrul chen-moḥi rgyud-kyi rjes-su-ḥbraṅ-baḥi he-ru-kaḥi sgrub-paḥi thabs,སྒྱུ་འཕྲུལ་ཆེན་མོའི་རྒྱུད་ཀྱི་རྗེས་སུ་འབྲང་བའི་ཧེ་རུ་ཀའི་སྒྲུབ་པའི་ཐབས,,,,,,,,
1628,2151,怛特羅部,通帙第127Ya,127,127,1628,1628,,,230b2-231a2,Kukuri-pa,Anīlavajra,Ḥgos lhas-btsas,,金剛薩埵成就法,Vajrasattvasādhana,Rdo-rje-sems-dpaḥi sgrub-thabs,རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས,,,,,,,,
1629,2152,怛特羅部,通帙第127Ya,127,127,1629,1629,,,231a2-232a7,Kukuri-pa,Anīlavajra,Ḥgos lhas-btsas,,的幻成就法愚夫救濟分別,,Ma-hā-mā-yāḥi sgrub-thabs rmoṅs-pa sgrol-baḥi brtag-pa,མ་ཧཱ་མཱ་ཡཱའི་སྒྲུབ་ཐབས་རྨོངས་པ་སྒྲོལ་བའི་བརྟག་པ,,,,,,,,
1630,2153,怛特羅部,通帙第127Ya,127,127,1630,1630,,,232a7-245a3,Kukuri-pa,Navikoṭa,Ḥgos lhas-btsas,,大幻成就法曼荼羅儀軌,Mahāmāyāsādhanamaṇḍalavidhi,Sgyu-ḥphrul chen-moḥi sgrub-paḥi thabs-kyi dkyil-ḥkhor-gyi cho-ga,སྒྱུ་འཕྲུལ་ཆེན་མོའི་སྒྲུབ་པའི་ཐབས་ཀྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,,,,,,,,
1631,2154,怛特羅部,通帙第127Ya,127,127,1631,1631,,,245a3-245a7,Kukuri-pa,,,,大幻曼荼羅天讚,,Ma-hā-mā-yāḥi dkyil-ḥkhor-gyi lha-la bstod-pa,མ་ཧཱ་མཱ་ཡཱའི་དཀྱིལ་འཁོར་གྱི་ལྷ་ལ་བསྟོད་པ,,,,,,,,
1632,2155,怛特羅部,通帙第127Ya,127,127,1632,1632,,,245a7-246b3,Blo-bzaṅ sñiṅ-po,Kamalagupta,Rin-chen bzaṅ-po,,真性優波提舍,Tattvopadeśa,De-kho-na-ñid-kyi man-ṅag,དེ་ཁོ་ན་ཉིད་ཀྱི་མན་ངག,,,,,,,,
1633,2156,怛特羅部,通帙第127Ya,127,127,1633,1633,,,246b3-252b6,Blo-bzaṅ sñiṅ-po,Kamalagupta,Rin-chen bzaṅ-po,,真性優波提舍註釋,Tattvopadeśavṛtti,De-kho-na-ñid-kyi man-ṅag-gi ḥgrel-pa,དེ་ཁོ་ན་ཉིད་ཀྱི་མན་ངག་གི་འགྲེལ་པ།,,,,,,,,
1634,2157,怛特羅部,通帙第127Ya,127,127,1634,1634,,,252b6-254b3,Rin-chen rdo-rje,Jñānaśrībhadra,Ḥphags-pa śes-rab,,大幻成就法,Mahāmāyāsādhana,Sgyu-ḥphrul chen-moḥi sgrub-thabs,སྒྱུ་འཕྲུལ་ཆེན་མོའི་སྒྲུབ་ཐབས,,,,,,,,
1635,2158,怛特羅部,通帙第127Ya,127,127,1635,1635,,,254b3-255b6,Nap-po spyod-pa-ba,Karmavajra,Gshon-nu tshul-khrims,,吉祥佛荼枳尼成就法,Śrī-buddhaḍākinīsādhana,Dpal saṅs-rgyas mkhaḥ-ḥgro-maḥi sgrub-thabs,དཔལ་སངས་རྒྱས་མཁའ་འགྲོ་མའི་སྒྲུབ་ཐབས,,,,,,,,
1636,2159,怛特羅部,通帙第127Ya,127,127,1636,1636,,,255b6-265b2,Nap-po spyod-pa-ba,Karmavajra,Gshon-nu tshul-khrims,,大幻曼荼羅儀軌次第,Mahāmāyāmaṇḍalavidhikrama,Sgyu-ḥphrul chen-moḥi dkyil-ḥkhor-gyi cho-gaḥi rim-pa gsal-ba shes-bya-ba,སྒྱུ་འཕྲུལ་ཆེན་མོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་གའི་རིམ་པ་གསལ་བ་ཞེས་བྱ་བ,,,,,,,,
1637,2160,怛特羅部,通帙第127Ya,127,127,1637,1637,,,265b2-267a2,Nag-po-pa,,,,總法行,,Spyiḥi chos spyod,སྤྱིའི་ཆོས་སྤྱོད།,,,,,,,,
1638,2161,怛特羅部,通帙第127Ya,127,127,1638,1638,,,267a2-267a6,Nag,,,,五種姓荼迦讚,,Rigs lṅa mkhaḥ-ḥgroḥi bstod-pa,རིགས་ལྔ་མཁའ་འགྲོའི་བསྟོད་པ།,,,,,,,,
1639,2162,怛特羅部,通帙第127Ya,127,127,1639,1639,,,267a6-268a4,Nag,,,,吉祥呬嚕迦眷屬讚,,Dpal he-ru-ka ḥkhor daṅ bcas-pa-lha-la bstod-pa,དཔལ་ཧེ་རུ་ཀ་འཁོར་དང་བཅས་པ་ལྷ་ལ་བསྟོད་པ།,,,,,,,,
1640,2163,怛特羅部,通帙第127Ya,127,127,1640,1640,,,268a4-268b5,Nag,,,,七句儀軌,,Bdun tshigs-kyi cho-ga,བདུན་ཚིགས་ཀྱི་ཆོ་ག།,,,,,,,,
1641,2164,怛特羅部,通帙第127Ya,127,127,1641,1641,,,268b5-269a1,,,,,甎佛造作優波提舍,,Sāccha gdab-paḥi man-ṅag,སཱཙྪ་གདབ་པའི་མན་ངག།,,,,,,,,
1642,2165,怛特羅部,通帙第127Ya,127,127,1642,1642,,,269a1-269b5,Chos-kyi shabs,Shi-ba-bzaṅ-po,Ḥgos lhas-btsas,,大幻成滿次第,Mahāmāyāsiddhikrama,Sgyu-ḥphrul chen-moḥi rdsogs-paḥi rim-pa,སྒྱུ་འཕྲུལ་ཆེན་མོའི་རྫོགས་པའི་རིམ་པ།,,,,,,,,
1643,2166,怛特羅部,通帙第127Ya,127,127,1643,1643,,,269b5-273b4,Rin-chen ḥbyuṅ-gnas shi-ba,Shi-ba-bzaṅ-po,Ḥgos lhas-btsas,,大幻成就法,Mahāmāyāsādhana,Sgyu-ma chen-moḥi sgrub-thabs,སྒྱུ་མ་ཆེན་མོའི་སྒྲུབ་ཐབས།,,,,,,,,
1644,2167,怛特羅部,通帙第127Ya,127,127,1644,1644,,,273b4-290a4,Rgyan-pa,,,,大幻成就法曼荼羅儀軌,Mahāmāyāsādhanamaṇḍalavidhi,Sgyu-ḥphrul chen-moḥi sgrub-thabs-kyi dkyil-ḥkhor-gyi cho-ga,སྒྱུ་འཕྲུལ་ཆེན་མོའི་སྒྲུབ་ཐབས་ཀྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།,,,,,,,,
1645,2168,怛特羅部,通帙第127Ya,127,127,1645,1645,,,290a4-309a1,Ḥdul-bas byin,,,,大幻曼荼羅儀軌上師口說優波提舍,Gurūpadeśa-nāma-mahāmāyāmaṇḍalavidhi,Sgyu-ḥphrul chen-moḥi dkyil-ḥkhor-gyi cho-ga bla-maḥi shal-sṅaḥi man-ṅag,སྒྱུ་འཕྲུལ་ཆེན་མོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་བླ་མའི་ཞལ་སྔའི་མན་ངག།,,,,,,,,
1646,2169,怛特羅部,通帙第127Ya,127,127,1646,1646,,,309a1-309b5,,,,,呬嚕一印契成就法,,He-ru-ka phyag-rgya gcig-paḥi sgrub-thabs,ཧེ་རུ་ཀ་ཕྱག་རྒྱ་གཅིག་པའི་སྒྲུབ་ཐབས།,,,,,,,,
1647,2170,怛特羅部,通帙第127Ya,127,127,1647,1647,,,309b5-312b4,,,,,荼毗成就法儀軌,Śmaśāmasaṁskārasādhanavidhi,Ro-bsreg-paḥi sgrub-thabs-kyi cho-ga,རོ་བསྲེག་པའི་སྒྲུབ་ཐབས་ཀྱི་ཆོ་ག།,,,,,,,,
1648,2171,怛特羅部,通帙第127Ya,127,127,1648,1648,,,312b4-314a7,Sku-med rdo-rje,,,,大幻成就法,,Sgyu-ḥphrul chen-moḥi sgrub-thabs,སྒྱུ་འཕྲུལ་ཆེན་མོའི་སྒྲུབ་ཐབས,,,,,,,,
1649,2172,怛特羅部,通帙第128Ra,128,128,1649,1649,,,1b1-15b6,Dri-med bzaṅ-po,,,Rin-chen grub,吉祥金剛甘露難語釋,Śrī-vajrāmṛtapañjikā,Dpal rdo-rje bdud-rtsiḥi dkaḥ-ḥgrel,དཔལ་རྡོ་རྗེ་བདུད་རྩིའི་དཀའ་འགྲེལ,,,,,,,,
1650,2173,怛特羅部,通帙第128Ra,128,128,1650,1650,,,15b6-53b2,Yon-tan bzaṅ-po,Smṛtijñāna,,,金剛甘露怛特羅註釋,Vajrāmṛtatantraṭīkā,Rdo-rje bdud-rtsiḥi rgyud-kyi bśad-pa,རྡོ་རྗེ་བདུད་རྩིའི་རྒྱུད་ཀྱི་བཤད་པ,,,,,,,,
1651,2174,怛特羅部,通帙第128Ra,128,128,1651,1651,,,53b2-104a7,Bhago,Tārapāla,Chiṅs yon-tan ḥbar,Śīlaguhyavajra、Glog skya śes-rab brtsegs,吉祥金剛甘露怛特羅大王廣註,Śrī-vajrāmṛtamahātantrarājaṭīkā-nāma,Dpal rdo-rje bdud-rtsiḥi rgyud-kyi rgyal-po chen-poḥi rgya-cher ḥgrel-pa shes-bya-ba,དཔལ་རྡོ་རྗེ་བདུད་རྩིའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་རྒྱ་ཆེར་འགྲེལ་པ་ཞེས་བྱ་བ,,,,,,,,
1652,2175,怛特羅部,通帙第128Ra,128,128,1652,1652,,,104b1-150a2,Saraha,Gayadhara,Jo-zla-baḥi ḥod-zer,,吉祥佛頂蓋怛特羅難語釋具慧,Śrī-buddhakapālatantrapañjikā-jñānavatī-nāma,Dpal saṅs-rgyas thod-paḥi rgyud-kyi dkaḥ-ḥgrel ye-śes ldan-pa shes-bya-ba,དཔལ་སངས་རྒྱས་ཐོད་པའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་ཡེ་ཤེས་ལྡན་པ་ཞེས་བྱ་བ,,,,,,,,
1653,2176,怛特羅部,通帙第128Ra,128,128,1653,1653,,,150a3-166a7,Padma rdo-rje,,Diṅ-ri chos-grags (?),Blo-gros brtan-pa,佛頂蓋怛特羅難語釋真性月,Buddhakapālatantratattvacandrikapañjikā-nāma,Saṅs-rgyas thod-paḥi rgyud-kyi dkaḥ-ḥgrel de-kho-na-ñid-kyi zla-ba shes-bya-ba,སངས་རྒྱས་ཐོད་པའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་དེ་ཁོ་ན་ཉིད་ཀྱི་ཟླ་བ་ཞེས་བྱ་བ,,,,,,,,
1654,2177,怛特羅部,通帙第128Ra,128,128,1654,1654,,,166b1-225b3,Obhyayākaragupta,Diṅ-ri chos-grags (?),,Blo-gros brtan-pa,吉祥佛頂蓋怛特羅大王廣註無畏釋盡,Śrī-buddhakapālamahātantrarājaṭīkā-abhayapaddhati-nāma,Dpal saṅs-rgyas thod-paḥi rgyud-kyi rgyal-po chen-poḥi rgya-cher-ḥgrel-pa ḥjigs-pa med-paḥi gshuṅ ḥgrel shes-bya-ba,དཔལ་སངས་རྒྱས་ཐོད་པའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་རྒྱ་ཆེར་འགྲེལ་པ་འཇིགས་པ་མེད་པའི་གཞུང་འགྲེལ་ཞེས་བྱ་བ,,,,,,,,
1655,2178,怛特羅部,通帙第128Ra,128,128,1655,1655,,,225b3-229b3,Saraha,Gayadhara,Gyi-jo zla-baḥi ḥod-zer,,吉祥佛頂蓋成就法,Śrī-buddhakapālasādhana-nāma,Dpal saṅs-rgyas thod-paḥi sgrub-thabs shes-bya-ba,དཔལ་སངས་རྒྱས་ཐོད་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ,,,,,,,,
1656,2179,怛特羅部,通帙第128Ra,128,128,1656,1656,,,229b3-230b2,Saraha,Gayadhara,Gyi-jo zla-baḥi ḥod-zer,,一切部多供物儀軌,Sarvabhūtabalividhi,Ḥbyuṅ-po thams-cad-kyi gtor-maḥi cho-ga,འབྱུང་པོ་ཐམས་ཅད་ཀྱི་གཏོར་མའི་ཆོ་ག,,,,,,,,
1657,2180,怛特羅部,通帙第128Ra,128,128,1657,1657,,,230b2-243b5,Saraha,Gayadhara,Gyi-jo zla-baḥi ḥod-zer,,吉祥佛頂蓋曼荼羅儀軌次第明,Śrī-buddhakapālamaṇḍalavidhikrama-pradyotana-nāma,Dpal saṅs-rgyas thod-pa shes-bya-baḥi dkyil-ḥkhor-gyi cho-gaḥi rim-pa gsal-ba shes-bya-ba,དཔལ་སངས་རྒྱས་ཐོད་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་གའི་རིམ་པ་གསལ་བ་ཞེས་བྱ་བ,,,,,,,,
1658,2181,怛特羅部,通帙第128Ra,128,128,1658,1658,,,243b5-244b7,,,Rin-chen grab,,哩祇阿羅梨成就法,Rigyāralisādhana,Ri-gi-ā-ra-līḥi sgrub-thabs,རི་གི་ཨཱ་ར་ལཱིའི་སྒྲུབ་ཐབས།,,,,,,,,
1659,2182,怛特羅部,通帙第128Ra,128,128,1659,1659,,,245a1-389a5,Brgya-byin sdaṅ-po,Vidyākarasiṁha,Lha rin-po-cha,,吉祥一切佛平等和合荼枳尼幻勝樂怛特羅義釋,Śrī-sarvabuddhasamagoyaḍākinīmāyā-sambaratantrārthodaraṭīka-nāma,Dpal saṅs-rgyas thams-cad daṅ mñam-par-sbyor-ba mkhaḥ-ḥgro sgyu-ma bde-mchog-gi rgyud-kyi don rnam-par-bśad-pa shes-bya-ba,དཔལ་སངས་རྒྱས་ཐམས་ཅད་དང་མཉམ་པར་སྦྱོར་བ་མཁའ་འགྲོ་སྒྱུ་མ་བདེ་མཆོག་གི་རྒྱུད་ཀྱི་དོན་རྣམ་པར་བཤད་པ་ཞེས་བྱ་བ,,,,,,,,
1660,2183,怛特羅部,通帙第128Ra,128,128,1660,1660,,,389a5-439a7,Rab-tu-dgaḥ-baḥi rdo-rje,,,,一切佛平等和合荼枳尼幻勝樂註釋平等和合莊嚴,,Saṅs-rgyas thams-cad daṅ-mñam-par sbyor-ba mkhaḥ-ḥgro-ma sgyu-ma bde-mchog-gi bgrel-pa mñam-sbyor-gyi rgyan-pa shes-bya-ba,སངས་རྒྱས་ཐམས་ཅད་དང་མཉམ་པར་སྦྱོར་བ་མཁའ་འགྲོ་མ་སྒྱུ་མ་བདེ་མཆོག་གི་བགྲེལ་པ་མཉམ་སྦྱོར་གྱི་རྒྱན་པ་ཞེས་བྱ་བ,,,,,,,,
1661,2184,怛特羅部,通帙第129La,129,129,1661,1661,,,1b1-19b3,Indrabhūti,Śraddhākaravarma,Rin-chen bzaṅ-po,,吉祥一切佛平等和合怛特羅難語釋,Śrī-sarvabuddhasamayogatantra-nāma-pañjikā,Dpal saṅs-rgyas thams-cad daṅ mñam-par-sbyor-ba shes-bya-baḥi rgyud-kyi dkaḥ-ḥgrel,དཔལ་སངས་རྒྱས་ཐམས་ཅད་དང་མཉམ་པར་སྦྱོར་བ་ཞེས་བྱ་བའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ,,,,,,,,
1662,2185,怛特羅部,通帙第129La,129,129,1662,1662,,,19b3-58b5,Kun-dgaḥ sñiṅ-po,Smṛtijñānakīrti,,,一切分別平等和合荼枳尼幻勝樂怛特羅上上釋,Sarvakalpasamayogaḍākinimāyāsambaro-ttaratantraṭikā,Rtog-pa thams-cad daṅ mñam-par sbyor-ba mkhaḥ-ḥgro-ma sgyu-ma bde-baḥi mchog-gi rgyud phyi-maḥi phyi-ma rnam-par-bśad-pa,རྟོག་པ་ཐམས་ཅད་དང་མཉམ་པར་སྦྱོར་བ་མཁའ་འགྲོ་མ་སྒྱུ་མ་བདེ་བའི་མཆོག་གི་རྒྱུད་ཕྱི་མའི་ཕྱི་མ་རྣམ་པར་བཤད་པ,,,,,,,,
